,Plik,f0,formant1,formant2,formant3,formant4,formant5,formant6,plec
34,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_i_4.wav,156.93950177935943,0.0,2462.1713714608945,4573.010320713334,18326.67571754689,22050.0,0.0,0
35,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_i_5.wav,145.54455445544554,0.0,2521.941684082078,4640.504704652023,16760.866121830593,22050.0,0.0,0
36,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_i_6.wav,142.25806451612902,0.0,830.252594127695,2559.4611622057478,18367.673849186736,22050.0,0.0,0
37,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_i_7.wav,138.24451410658307,0.0,0.0,2085.7311043553877,6802.31664882184,18641.90283242721,0.0,0
38,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_i_8.wav,139.1167192429022,0.0,1239.6524745389388,5677.46228657833,16958.377354289318,22050.0,0.0,0
39,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_i_9.wav,137.38317757009347,0.0,1684.976610977457,5744.58774009306,16958.31154948177,22050.0,0.0,0
40,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_o_1.wav,137.8125,0.0,519.6373333817323,3647.306906029319,16714.78779229324,22050.0,0.0,0
41,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_o_10.wav,134.4512195121951,0.0,443.4010035995069,5491.37163135447,16044.108156539927,22050.0,0.0,0
42,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_o_2.wav,138.24451410658307,520.7661024031778,3925.9914537928785,5737.540911481974,18466.325282697962,0.0,0.0,0
43,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_o_3.wav,140.44585987261146,0.0,516.973638686998,5031.515436147275,18238.27838130825,22050.0,0.0,0
44,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_o_4.wav,155.8303886925795,631.6958928182643,3820.763883904334,7065.915983173559,18702.343881461413,0.0,0.0,0
45,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_o_5.wav,141.80064308681673,0.0,561.3412015360605,5657.371818896002,16596.592920073344,22050.0,0.0,0
46,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_o_6.wav,139.55696202531647,0.0,763.6142557249487,5656.2146882975185,16223.659858577945,22050.0,0.0,0
47,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_o_7.wav,136.95652173913044,0.0,389.0669327855299,6396.196813632955,16131.74462319652,22050.0,0.0,0
48,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_o_8.wav,137.38317757009347,0.0,445.6666242601433,5911.08720418428,16076.230552406803,22050.0,0.0,0
49,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\dzwiek_o_9.wav,134.86238532110093,0.0,434.0223507461398,5939.44564648735,16066.09275651521,22050.0,0.0,0
